id	category	name	provided_by	knowledge_source
PUBCHEM.COMPOUND:10759828	biolink:SmallMolecule	N-[4-(3-chloro-4-fluoroanilino)pyrido[3,4-d]pyrimidin-6-yl]prop-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:107901	biolink:SmallMolecule	Epoxiconazol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:108223	biolink:SmallMolecule	Deoxyglucose	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:10854884	biolink:SmallMolecule	N-[4-(3-Chloro-4-fluoro-phenylamino)-pyrido[3,2-d]pyrimidin-6-yl]-acrylamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11178756	biolink:SmallMolecule	5-[(4-aminopiperidin-1-yl)methyl]-N-[3-chloro-4-(pyridin-2-ylmethoxy)phenyl]pyrrolo[2,1-f][1,2,4]triazin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11203411	biolink:SmallMolecule	N-(2,6-difluorophenyl)-4-[4-[[6-(dimethylamino)pyrido[3,4-d]pyrimidin-4-yl]amino]-2-methylphenoxy]piperidine-1-carboxamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11220978	biolink:SmallMolecule	5-((4-Aminopiperidin-1-yl)methyl)-N-phenylpyrrolo[1,2-f][1,2,4]triazin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11273032	biolink:SmallMolecule	GSK-182497A	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11307581	biolink:SmallMolecule	GSK192082A	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11342331	biolink:SmallMolecule	(E)-N-[4-[3-chloro-4-[(3-chlorophenyl)methoxy]anilino]-3-cyano-7-ethoxyquinolin-6-yl]-4-(dimethylamino)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11349170	biolink:SmallMolecule	(3R,4R)-4-Amino-1-[[4-[(3-methoxyphenyl)amino]pyrrolo[2,1-f][1,2,4]triazin-5-yl]methyl]piperidin-3-ol	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:11365185	biolink:SmallMolecule	N-(2,6-Difluorophenyl)-4-(2-methyl-4-(6-morpholinopyrido[3,4-d]pyrimidin-4-ylamino)phenoxy)piperidine-1-carboxamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11365726	biolink:SmallMolecule	(E)-N-[4-[3-chloro-4-[(4-phenyl-1,3-thiazol-2-yl)sulfanyl]anilino]-3-cyano-7-ethoxyquinolin-6-yl]-4-(dimethylamino)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11382411	biolink:SmallMolecule	5-[(4-aminopiperidin-1-yl)methyl]-N-(3-ethynylphenyl)pyrrolo[2,1-f][1,2,4]triazin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11420204	biolink:SmallMolecule	6-Ethynylthieno[3,2-d]pyrimidine, 8	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11440253	biolink:SmallMolecule	5-((4-Aminopiperidin-1-yl)methyl)-N-(3-chloro-4-fluorophenyl)pyrrolo[1,2-f][1,2,4]triazin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11454712	biolink:SmallMolecule	N-[2-[4-[3-chloro-4-(pyridin-2-ylmethoxy)anilino]quinazolin-5-yl]oxyethyl]-2-hydroxy-N-methylacetamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:114778	biolink:SmallMolecule	kahweol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11488320	biolink:SmallMolecule	Sapitinib	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:114909	biolink:SmallMolecule	tephrosin	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11511120	biolink:ChemicalEntity	DACOMITINIB	ERBB2_direct_ara-improving.json	
PUBCHEM.COMPOUND:11518389	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(4-methyl-1-piperazinyl)-2-pentynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11518627	biolink:SmallMolecule	N-[3-Chloro-4-(pyridin-2-ylmethoxy)phenyl]-3-(2-piperazin-1-ylethoxy)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11524106	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-2-heptynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11532242	biolink:SmallMolecule	N-[4-(3-Chloro-4-fluoroanilino)quinazolin-6-yl]-5-(diethylamino)pent-2-ynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11533556	biolink:SmallMolecule	N-[3-Chloro-4-(pyridin-2-ylmethoxy)phenyl]-3-[3-(4-methylpiperazin-1-yl)propoxy]-1H-pyrazolo[3,4-d]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11539461	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-4-(4-morpholinyl)-2-butynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11547991	biolink:SmallMolecule	1-[3-[[4-[3-chloro-4-(pyridin-2-ylmethoxy)anilino]-1H-pyrazolo[3,4-d]pyrimidin-3-yl]oxy]propyl]piperidin-4-ol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11557040	biolink:SmallMolecule	LAPATINIB DITOSYLATE	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11561779	biolink:SmallMolecule	N-[3-Chloro-4-(pyridin-2-ylmethoxy)phenyl]-3-(2-pyrrolidin-1-ylethoxy)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11562662	biolink:SmallMolecule	(2R)-2-[4-[3-chloro-4-(pyridin-2-ylmethoxy)anilino]quinazolin-5-yl]oxy-1-morpholin-4-ylpropan-1-one	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11566580	biolink:SmallMolecule	EGFR/ErbB-2/ErbB-4 Inhibitor	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11568720	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(4-morpholinyl)-2-pentynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11569434	biolink:SmallMolecule	1-{2-[(4-{[3-Methoxy-4-(pyridin-2-ylmethoxy)phenyl]amino}-1H-pyrazolo[3,4-d]pyrimidin-3-yl)oxy]ethyl}piperidin-4-ol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11569903	biolink:SmallMolecule	1-[(2S)-2-[[4-[3-chloro-4-(pyridin-2-ylmethoxy)anilino]quinazolin-5-yl]oxymethyl]pyrrolidin-1-yl]-2-hydroxyethanone	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11576231	biolink:SmallMolecule	{6-[(4-{3-Chloro-4-[(3-fluorobenzyl)oxy]anilino}-5-pyrimidinyl)ethynyl]-2-pyridinyl}methanol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11578515	biolink:SmallMolecule	CHEMBL2141478	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11590557	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]-6-quinazolinyl]-5-(4-morpholinyl)-2-pentynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11590799	biolink:SmallMolecule	5-((4-Aminopiperidin-1-yl)methyl)-N-(3-chloro-4-(pyrazin-2-ylmethoxy)phenyl)pyrrolo[1,2-f][1,2,4]triazin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11591222	biolink:SmallMolecule	(2R)-N-(2-Hydroxyethyl)-N-methyl-2-[4-[3-methyl-4-(6-methylpyridin-3-yl)oxyanilino]quinazolin-5-yl]oxypropanamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11595844	biolink:SmallMolecule	N-[4-(3-chloro-4-fluoroanilino)quinazolin-6-yl]-4-hydroxybut-2-ynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11597061	biolink:SmallMolecule	N-[3-chloro-4-(pyridin-2-ylmethoxy)phenyl]-3-[2-(methylamino)ethoxy]-1H-pyrazolo[3,4-d]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11604864	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(1-piperidinyl)-2-pentynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11613187	biolink:SmallMolecule	N-[4-[(3-Bromo-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(4-methyl-1-piperazinyl)-2-pentynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11620487	biolink:SmallMolecule	1-(2-{[4-({3-Chloro-4-[(3-fluorobenzyl)oxy]phenyl}amino)-1H-pyrazolo[3,4-d]pyrimidin-3-yl]oxy}ethyl)piperidin-4-ol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11620908	biolink:SmallMolecule	TAK-285	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11626560	biolink:SmallMolecule	Crizotinib	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:11632391	biolink:SmallMolecule	N-[4-[(3-Chloro-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-2-hexynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11634645	biolink:SmallMolecule	N-[3-Chloro-4-(pyridin-2-ylmethoxy)phenyl]-3-[2-(4-methylpiperazin-1-yl)ethoxy]-1H-pyrazolo[3,4-d]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11640889	biolink:SmallMolecule	GW799251X	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11656050	biolink:SmallMolecule	GW703087X	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11657332	biolink:SmallMolecule	1-((6-(2-(4-(4-(3-Fluorobenzyloxy)-3-chlorophenylamino)pyrimidin-5-yl)ethynyl)pyridin-2-yl)methyl)-3-(2-(methylsulfonyl)ethyl)urea	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11670167	biolink:SmallMolecule	1-(2-{[4-({3-Fluoro-4-[(6-methylpyridin-3-yl)oxy]phenyl}amino)-1H-pyrazolo[3,4-d]pyrimidin-3-yl]oxy}ethyl)piperidin-4-ol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11671467	biolink:SmallMolecule	fostamatinib	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11675978	biolink:SmallMolecule	2-[(4-{[3-Chloro-4-(pyridin-2-ylmethoxy)phenyl]amino}-1H-pyrazolo[3,4-d]pyrimidin-3-yl)oxy]ethanol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11678194	biolink:SmallMolecule	N-[2-(4-{[3-Chloro-4-(3-chlorophenoxy)phenyl]amino}-5H-pyrrolo[3,2-d]pyrimidin-5-yl)ethyl]-2-(methylsulfonyl)acetamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11684096	biolink:SmallMolecule	2-(4-(3-Chloro-4-(pyridin-2-ylmethoxy)phenylamino)quinazolin-5-yloxy)-2-methylpropanamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11684629	biolink:SmallMolecule	2-[2-[4-[3-chloro-4-[3-(trifluoromethyl)phenoxy]anilino]pyrrolo[3,2-d]pyrimidin-5-yl]ethoxy]ethanol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11698913	biolink:SmallMolecule	1-{2-[(4-{[3-Chloro-4-(pyridin-2-ylmethoxy)phenyl]amino}-1H-pyrazolo[3,4-d]pyrimidin-3-yl)oxy]ethyl}piperidin-4-ol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11700696	biolink:MolecularMixture	AV-412	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:11712237	biolink:SmallMolecule	(2R)-N,N-dimethyl-2-[4-[3-methyl-4-(6-methylpyridin-3-yl)oxyanilino]quinazolin-5-yl]oxypropanamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11712609	biolink:SmallMolecule	1-[2-[[4-[3-methyl-4-(6-methylpyridin-3-yl)oxyanilino]-1H-pyrazolo[3,4-d]pyrimidin-3-yl]oxy]ethyl]piperidin-4-ol	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11712721	biolink:SmallMolecule	5-[(4-Aminopiperidin-1-yl)methyl]-N-[3-chloro-4-[(1-oxidopyridin-1-ium-2-yl)methoxy]phenyl]pyrrolo[2,1-f][1,2,4]triazin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11713043	biolink:SmallMolecule	N-[4-[(3-Bromo-4-fluorophenyl)amino]pyrido[3,4-d]pyrimidin-6-yl]-5-(4-morpholinyl)-2-pentynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11719423	biolink:SmallMolecule	N-[4-(3-chloro-4-fluoroanilino)quinazolin-6-yl]-4-[di(propan-2-yl)amino]but-2-ynamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:1174	biolink:SmallMolecule	uracil	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11751635	biolink:SmallMolecule	N-[3-chloro-4-(pyrazin-2-ylmethoxy)phenyl]-5-[(2R)-1-(dimethylamino)propan-2-yl]oxyquinazolin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11752667	biolink:SmallMolecule	Cyclopentyl(4-(2-methyl-4-(6-morpholinopyrido[3,4-d]pyrimidin-4-ylamino)phenoxy)piperidin-1-yl)methanone	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11786150	biolink:SmallMolecule	N-(2,6-Difluorophenyl)-4-(4-(6,7-dimethoxyquinazolin-4-ylamino)-2-methylphenoxy)piperidine-1-carboxamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118738351	biolink:SmallMolecule	N-[3-Chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-(morpholin-4-ylmethyl)furan-2-yl]quinazolin-4-amine;4-methylbenzenesulfonic acid	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118738352	biolink:SmallMolecule	N-[3-Chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-[(4-methylpiperazin-1-yl)methyl]furan-2-yl]quinazolin-4-amine;4-methylbenzenesulfonic acid	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118738353	biolink:SmallMolecule	N-[3-Chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-(piperazin-1-ylmethyl)furan-2-yl]quinazolin-4-amine;4-methylbenzenesulfonic acid	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118738354	biolink:SmallMolecule	ethyl 4-[[5-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]quinazolin-6-yl]furan-2-yl]methyl]piperazine-1-carboxylate;4-methylbenzenesulfonic acid	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118738355	biolink:SmallMolecule	N-[3-Chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-[(4-methylsulfonylpiperazin-1-yl)methyl]furan-2-yl]quinazolin-4-amine;4-methylbenzenesulfonic acid	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118738356	biolink:SmallMolecule	1-[4-[[5-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]quinazolin-6-yl]furan-2-yl]methyl]piperazin-1-yl]ethanone;4-methylbenzenesulfonic acid	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:118986645	biolink:SmallMolecule	Ilk-IN-2	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:11955109	biolink:SmallMolecule	N-[3-Chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-methyl-5-[2-[4-[(propan-2-ylamino)methyl]phenyl]ethynyl]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:121241169	biolink:SmallMolecule	[(6,7-dimethoxyquinolin-4-yl)-(5-methoxy-2,2-dimethylchromen-6-yl)methyl] acetate	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:122195677	biolink:SmallMolecule	[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]quinazolin-6-yl]urea	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:123631	biolink:NamedThing|biolink:ChemicalEntity|biolink:MolecularEntity|biolink:SmallMolecule	Gefitinib	ERBB2_direct_ara-explanatory.json	
PUBCHEM.COMPOUND:127048297	biolink:SmallMolecule	1-[4-[3-Chloro-4-[(3-fluorobenzyl)oxy]anilino]quinazoline-6-yl]-3-(2-piperidinoethyl)urea	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:127050557	biolink:SmallMolecule	1-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]quinazolin-6-yl]-3-(3-morpholin-4-ylpropyl)thiourea	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:12967	biolink:SmallMolecule	1-ethyl-1-nitrosourea	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:13089	biolink:SmallMolecule	O,P'-Ddt	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:13342	biolink:SmallMolecule	vinblastine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134130825	biolink:SmallMolecule	(E)-N-[4-[(1-benzylindazol-5-yl)amino]-7-(2-methoxyethoxy)quinazolin-6-yl]-4-pyrrolidin-1-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134131929	biolink:SmallMolecule	(E)-N-[4-[(1-benzylindazol-5-yl)amino]-7-ethoxyquinazolin-6-yl]-4-morpholin-4-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134132574	biolink:SmallMolecule	7-[4-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]quinazolin-6-yl]triazol-1-yl]-N-hydroxyheptanamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134137974	biolink:SmallMolecule	(E)-N-[4-(3-chloro-4-fluoroanilino)pyrido[3,4-d]pyrimidin-6-yl]-4-piperidin-1-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134138682	biolink:SmallMolecule	(E)-N-[4-[(1-Benzylindazol-5-yl)amino]-7-ethoxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134139694	biolink:SmallMolecule	(E)-N-[4-[(1-benzylindazol-5-yl)amino]-7-ethoxyquinazolin-6-yl]-4-(4-methylpiperazin-1-yl)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134139995	biolink:SmallMolecule	2-[8-[3-chloro-4-(4-methylpiperazin-1-yl)anilino]-2-oxo-[1,3]oxazolo[4,5-g]quinazolin-1-yl]ethyl 2-chloroacetate	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134140108	biolink:SmallMolecule	(E)-N-[4-[(1-Benzylindazol-5-yl)amino]-7-ethoxyquinazolin-6-yl]-4-pyrrolidin-1-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134146010	biolink:SmallMolecule	(E)-N-[4-[(1-Benzylindazol-5-yl)amino]-7-ethoxyquinazolin-6-yl]-4-piperidin-1-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134146699	biolink:SmallMolecule	(E)-N-[4-[(1-benzylindazol-5-yl)amino]-7-ethoxyquinazolin-6-yl]-4-[(3R,5S)-3,5-dimethylpiperazin-1-yl]but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134148660	biolink:SmallMolecule	(E)-N-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]-7-ethoxyquinazolin-6-yl]-4-(4-methylpiperazin-1-yl)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134150331	biolink:SmallMolecule	(E)-4-(Dimethylamino)-N-[4-[4-(pyridin-2-ylmethyl)anilino]pyrido[3,4-d]pyrimidin-6-yl]but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134150381	biolink:SmallMolecule	2-[8-(3-chloro-4-morpholin-4-ylanilino)-2-oxo-[1,3]oxazolo[4,5-g]quinazolin-1-yl]ethyl 2-bromoacetate	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134150417	biolink:SmallMolecule	(E)-N-[4-(3-Chloro-4-fluoroanilino)pyrido[3,4-d]pyrimidin-6-yl]-4-(dimethylamino)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134150618	biolink:SmallMolecule	(E)-N-[4-[4-(pyridin-2-ylmethyl)anilino]pyrido[3,4-d]pyrimidin-6-yl]-4-pyrrolidin-1-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134154596	biolink:SmallMolecule	(E)-N-[4-[(1-Benzylindazol-5-yl)amino]-7-(2-methoxyethoxy)quinazolin-6-yl]-4-(4-methylpiperazin-1-yl)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134154754	biolink:SmallMolecule	(E)-N-[4-[(1-benzylindazol-5-yl)amino]-7-(2-methoxyethoxy)quinazolin-6-yl]-4-(dimethylamino)but-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:134155700	biolink:SmallMolecule	(E)-N-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]-7-ethoxyquinazolin-6-yl]-4-pyrrolidin-1-ylbut-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:135440466	biolink:SmallMolecule	BMS-536924	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:135564985	biolink:SmallMolecule	Ganetespib	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:135565884	biolink:SmallMolecule	Zanubrutinib	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:135659064	biolink:SmallMolecule	Folfox	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:13930	biolink:SmallMolecule	Heptachlor epoxide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:14257	biolink:SmallMolecule	undecane	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:14484	biolink:SmallMolecule	N-acetylcysteamine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:148124	biolink:NamedThing|biolink:ChemicalEntity|biolink:MolecularEntity|biolink:SmallMolecule	Docetaxel	ERBB2_direct_ara-explanatory.json	
